lapTimeOfDay,lapTime,lap_v_max,lap_ect_max,lap_ect_mean,lap_oilt_max,lap_oilt_mean,lap_iat_max,lap_iat_mean,lap_rhf_max,lap_rhr_max,lap_rhf_mean,lap_rhr_mean,lap_pbrakef_max,lap_pbraker_max,lap_brakebias_mean,lap_rollf_max,lap_rollr_max,lap_rpm_max,lap_exh_t_max,lap_oilp_mean,lap_oilp_min,lap_fuelp_min,lap_battv_mean
42127,40.48,70.532,57,48.34,39,35.4,34.687,33.071,25.952,19.221,17.324,10.244,236.32,205.72,52.114,19.158,35.597,9492.9,747,94.46,42.577,62.134,12.613
42167,31.13,83.362,67.999,62.4,46.999,43.141,33.94,32.394,35.802,23.859,18.368,10.749,502.46,475.81,54.33,25.089,35.87,9631.1,779.5,83.294,28.384,61.66,12.654
42199,29.72,86.33,76,72.408,56,52.023,34.281,32.754,37.192,23.989,18.362,10.906,507.98,488.02,52.85,28.158,22.454,9999.3,825.5,79.066,25.2,61.967,12.695
42228,30.18,88.338,82,79.084,66,61.349,36.241,33.85,37.479,23.306,18.382,10.88,563.38,524.86,53.893,26.826,24.682,11003,816.71,74.657,22.52,61.893,12.756
42259,30.73,86.289,86.999,84.926,73.576,69.937,37.281,34.498,37.923,24.399,18.534,10.74,551.15,515.34,52.598,29.519,21.738,9664.3,837,69.237,16.146,61.996,12.848
42289,12.37,35.922,88,87.43,76,74.772,47.187,41.481,23.828,11,17.999,9.1731,124.88,110.55,54.688,10.602,15.162,6841.1,829.5,57.956,14.504,62.817,12.989
43282,32,72.531,108,107.64,105,102.04,54.875,45.777,34.365,19.315,17.633,10.766,472.5,477.98,49.574,25.974,21.946,10914,749.5,69.973,27.449,61.543,12.946
43314,29.38,75.108,110,108.43,111,108.07,42.497,40.471,35.051,20.768,18.177,10.714,374.68,381.71,50.751,31.497,21.493,10997,787,56.811,20.905,61.499,12.971
43343,28.85,86.256,110,109.09,115,113.16,41.687,38.792,36.503,22.375,18.631,10.823,521.92,507.05,50.303,27.723,23.165,9349.2,790.48,55.219,15.786,61.642,13.019
43372,28.46,88.61,113,111.12,120,117.62,41.334,38.733,36.316,22.309,18.568,10.882,554.54,562.5,48.86,25.314,22.79,9512.7,797.47,57.255,24.861,61.553,12.984
43401,28.55,86.559,115,114.2,124,121.91,41.47,38.329,34.82,23.612,18.706,10.839,386.97,407.48,48.888,28.802,23.066,9260.4,794.5,54.143,18.46,61.846,13.072
43429,28.48,88.201,118,116.1,128,125.72,41.416,38.653,36.564,21.584,18.565,10.795,620.43,562.93,48.878,25.938,21.706,9934.2,804.47,54.37,22.646,61.348,13.046
43458,28.52,87.467,120,118.77,130,128.94,41.61,38.342,36.215,23.08,18.751,10.81,616.46,562.93,48.458,25.654,23.288,9421.9,809.96,52.525,17.05,61.649,13.077
43486,28.26,87.569,127,122.88,130,130,42.082,37.9,37.133,23.663,18.489,10.822,560.17,562.93,48.365,25.742,23.404,9591.4,809.99,50.866,18.395,61.62,13.08
43515,29.31,86.404,131,128.35,130,130,42.961,38.594,35.995,25.486,18.298,10.742,444.92,463.7,48.461,27.869,23.207,10083,797.98,55.52,31.727,61.444,13.021
43544,28.22,86.625,134.99,131.58,130,130,41.472,34.062,34.846,24.706,18.3,10.81,504.47,523.35,48.696,25.645,22.361,9622.2,793.96,48.821,22.166,61.428,13.069
43572,28.9,85.527,138,135.68,130,130,40.022,30.259,35.908,21.472,18.314,10.603,461.47,485.41,48.188,27.294,24.916,9225.7,790.5,48.342,21.9,61.691,13.087
43601,13.96,61.669,138,137.75,130,130,53.264,31.087,31.967,13.446,18.62,9.1636,245.96,269.06,48.225,11.523,15.554,8495.7,796.5,40.43,14.504,60.055,13.099
49767,32.23,69.996,81,76.34,62.999,58.538,36.781,32.933,32.435,18.95,17.3,10.661,334.94,337.41,52.155,22.405,21.119,10312,708.5,89.379,34.587,61.612,12.864
49799,29.05,80.954,89,85.634,73,68.453,34.453,31.638,36.195,22.759,17.863,10.822,471.69,430.08,53.751,26.396,23.147,10126,761,70.834,24.553,61.26,12.889
49828,31.19,85.469,103,95.67,80,76.658,36.7,31.793,35.636,22.712,17.879,10.729,502.87,470.24,52.385,25.405,21.357,11060,799.45,74.113,37.987,61.758,12.873
49859,29.45,88.076,111,106.49,87.999,84.704,36.233,31.341,36.067,21.325,18.16,10.765,557.49,513.78,52.156,24.9,21.711,10385,807.5,70.828,23.719,61.745,12.813
49889,28.55,88.197,114,111.73,95.999,92.21,36.053,31.402,36.171,23.412,18.031,10.923,489.41,472.36,52.082,30.916,24.662,9497.2,783.47,60.044,19.517,61.198,12.933
49918,29.19,90.322,116,114.23,101,98.431,36.279,31.88,36.728,24.07,18.192,10.628,440.95,427.85,50.466,22.931,20.528,9680.5,792.44,57.841,18.411,61.335,12.967
49947,5.94,49.308,116,115.37,102,101.65,39.188,32.967,24.429,9.4895,18.741,8.5374,154.82,150.85,53.591,11.131,10.051,7330.6,783.47,27.588,14.504,60.112,12.903
50684,30.98,71.225,107,103.32,99,94.57,47.824,40.266,31.281,21.416,17.622,10.634,325.81,322.89,53.223,24.173,21.405,9856.4,717.34,70.017,32.18,61.659,12.963
50715,28.75,84.165,115,111.55,106,102.46,39.538,36.496,36.084,22.366,18.279,10.648,428.92,408.6,53.124,26.775,22.637,9411.2,758.92,57.689,18.134,60.569,13.055
50744,28.11,87.261,119.43,117.56,111,108.43,38.185,34.71,36.073,22.462,18.362,10.82,508.98,483.32,52.312,26.957,23.591,9627.4,776.26,54.94,18.612,61.311,13.024
50772,31.18,86.715,127,122.82,116,113.73,43,38.458,36.178,23.795,18.014,10.485,461.74,423.6,51.376,22.676,23.582,11029,791.28,53,29.817,61.246,13.061
50803,28.8,86.936,132,129.38,120,117.97,39.3,36.843,36.889,24.99,18.418,10.774,436.97,448.05,50.02,24.929,23.457,9675.8,816.79,52.979,14.971,61.342,13.058
50832,21.17,88.862,137,134.23,123,121.73,46.512,39.464,36.581,21.509,18.714,9.6779,466.53,474.38,50.169,22.606,5.0485,9513.3,839.21,57.851,33.278,60.632,13.075
59839,37.53,58.013,60.999,50.355,43,37.976,31.297,29.84,26.749,16.116,17.274,10.154,111.66,90.588,55.483,21.155,20.632,9843.3,685.5,95.177,44.644,60.055,12.804
59877,32.05,72.879,76.954,69.061,52,47.639,34.568,30.497,35.209,19.229,17.849,10.64,465.84,429.26,52.958,24.482,26.317,11173,835.48,68.882,14.827,59.089,12.804
59909,28.88,80.601,90,82.8,60,55.905,32.961,31.093,35.894,20.848,17.927,10.819,488.46,441.35,54.624,22.446,22.15,10096,808.96,69.729,15.055,55.024,12.678
59937,28.69,87.119,97,93.763,67.999,64.111,35.092,32.244,35.813,23.374,18.112,10.728,489.46,439.38,53.755,23.577,21.422,9836.3,786.33,71.193,19.437,44.997,12.668
59966,24.69,88.631,109,104.81,73,70.898,43.375,37.41,34.816,21.177,18.617,9.6699,424.27,381.49,55.678,21.042,9.6941,9188.7,837.82,44.748,14.504,60.152,12.99
60046,30.57,76.781,152.73,108.19,81,77.954,49.375,38.732,34.704,21.547,17.633,10.766,404.56,406.35,51.095,21.81,21.699,9888.4,811.5,63.455,14.503,51.6,12.723
60077,29.01,90.511,149.67,109.7,88,84.466,37.899,35.551,35.666,22.313,17.889,10.703,498.79,480.71,51.468,23.118,23.991,9820.9,790.43,56.144,0,19.62,12.777
60106,29.75,88.934,145.23,118.39,94,90.897,37.56,34.754,35.857,21.549,18.607,10.866,474.53,471.01,50.354,23.944,22.541,9065.5,778.99,60.099,15.594,56.972,12.838
60135,29.11,87.845,126.19,122,100,97.207,39.631,35.152,35.868,22.795,18.334,10.557,412.94,413.97,49.568,25.205,22.909,9781.3,812.64,60.522,18.904,22.663,12.844
60164,17.61,78.483,215,99.206,104,101.93,40.781,34.737,33.319,18.955,19.479,10.215,345.82,353.41,48.767,22.95,16.761,9183.9,779.35,38.123,0,14.591,12.78
64067,37.97,58.606,72.999,66.188,55,51.135,32.94,29.514,26.71,15.607,17.561,10.17,76.861,177.04,NaN,21.935,19.878,10119,744.5,89.816,41.642,44.162,12.81
64105,29.75,74.545,87.441,78.456,64,59.806,33.588,31.001,35.095,21.149,17.983,10.803,381.97,561.94,36.926,24.516,23.423,10090,773.99,70.706,14.503,25.429,12.893
64135,28.68,83.906,98.998,91.462,71.999,67.91,35.053,31.875,34.952,23.622,17.995,10.871,376.53,546.36,36.492,25.951,22.074,10257,786.21,75.767,19.381,58.179,12.824
64163,28.66,86.601,110,102.66,79.999,76.607,34.874,31.767,35.747,21.553,18.18,10.853,491.52,562.93,38.017,25.447,19.933,9780.3,789.22,65.168,18.276,57.123,12.989
64192,29.15,85.006,158.16,112.42,86.999,83.739,35.486,31.628,35.666,22.808,18.559,10.773,407.81,562.93,36.027,22.706,23.692,9657,840.96,62.124,17.25,60.197,12.981
64221,29.48,86.622,121,117,93,89.988,35.79,32.337,35.547,22.274,17.566,10.885,439.95,562.93,36.478,23.762,20.849,9456.8,830.98,61.618,22.754,56.901,13.041
64251,29.46,87.936,125.96,121.84,99.339,96.414,37.162,31.141,35.601,20.888,18.38,10.784,356.37,517.04,34.473,27.447,22.664,10264,829.98,63.933,17.913,59.069,12.98
64280,24.09,91.214,215,44.152,103,101.91,36.566,32.718,35.236,21.904,19.215,9.7339,301.15,466.7,36.224,23.107,5.4862,9367.7,796.1,19.55,0,14.504,12.908
